S/N,"Full Name - First Name, Last Name",Gross Income CAD($),Sex,Date of Birth,Marital Status
1,"Kuzante, Marandinho"," $155,331.00 ",M,24-02-1934,Single
2,"Maruanto, Mazindara"," $176,784.00 ",F,24-02-2934,Married
3,"Kuzante, Marandinho"," $71,233.00 ",M,24-02-3934,Divorced
4,"Maruanto, Mazindara"," $44,868.00 ",M,24-02-4934,Single
5,"Kuzante, Marandinho"," $208,434.00 ",M,24-02-5934,Married
6,"Maruanto, Mazindara"," $153,447.00 ",N,24-02-6934,Divorced
7,"Kuzante, Marandinho"," $192,530.00 ",M,24-02-7934,Single
8,"Maruanto, Mazindara"," $208,149.00 ",F,24-02-8934,Married
9,"Kuzante, Marandinho"," $216,408.00 ",F,24-02-9934,Divorced
10,"Maruanto, Mazindara"," $176,345.00 ",N,24-02-10934,Single
11,"Kuzante, Marandinho"," $84,107.00 ",M,24-02-11934,Married
12,"Maruanto, Mazindara"," $60,299.00 ",N,24-02-12934,Divorced
13,"Kuzante, Marandinho"," $186,982.00 ",F,24-02-13934,Single
14,"Maruanto, Mazindara"," $65,429.00 ",N,24-02-14934,Married
15,"Kuzante, Marandinho"," $85,676.00 ",M,24-02-15934,Divorced
16,"Maruanto, Mazindara"," $207,773.00 ",F,24-02-16934,Single
17,"Kuzante, Marandinho"," $55,275.00 ",M,24-02-17934,Married
18,"Maruanto, Mazindara"," $141,860.00 ",M,24-02-18934,Divorced
19,"Kuzante, Marandinho"," $114,006.00 ",M,24-02-19934,Single
20,"Maruanto, Mazindara"," $137,170.00 ",N,24-02-20934,Married
21,"Kuzante, Marandinho"," $22,475.00 ",M,24-02-21934,Divorced
22,"Maruanto, Mazindara"," $185,655.00 ",F,24-02-22934,Single
23,"Kuzante, Marandinho"," $100,001.00 ",F,24-02-23934,Married
24,"Maruanto, Mazindara"," $145,009.00 ",N,24-02-24934,Divorced
25,"Kuzante, Marandinho"," $175,942.00 ",M,24-02-25934,Single
26,"Maruanto, Mazindara"," $51,520.00 ",N,24-02-26934,Married
27,"Kuzante, Marandinho"," $42,184.00 ",F,24-02-27934,Divorced
28,"Maruanto, Mazindara"," $72,447.00 ",N,24-02-28934,Single
29,"Kuzante, Marandinho"," $245,412.00 ",M,24-02-29934,Married
30,"Maruanto, Mazindara"," $199,050.00 ",F,24-02-30934,Divorced
31,"Kuzante, Marandinho"," $77,405.00 ",M,24-02-31934,Single
32,"Maruanto, Mazindara"," $235,263.00 ",M,24-02-32934,Married
33,"Kuzante, Marandinho"," $72,641.00 ",M,24-02-33934,Divorced
34,"Maruanto, Mazindara"," $95,585.00 ",N,24-02-34934,Single
35,"Kuzante, Marandinho"," $133,244.00 ",M,24-02-35934,Married
36,"Maruanto, Mazindara"," $38,026.00 ",F,24-02-36934,Divorced
37,"Kuzante, Marandinho"," $111,453.00 ",F,24-02-37934,Single
38,"Maruanto, Mazindara"," $70,341.00 ",N,24-02-38934,Married
39,"Kuzante, Marandinho"," $32,782.00 ",M,24-02-39934,Divorced
40,"Maruanto, Mazindara"," $144,108.00 ",N,24-02-40934,Single
41,"Kuzante, Marandinho"," $34,460.00 ",F,24-02-41934,Married
42,"Maruanto, Mazindara"," $249,744.00 ",N,24-02-42934,Divorced
43,"Kuzante, Marandinho"," $13,704.00 ",M,24-02-43934,Single
44,"Maruanto, Mazindara"," $137,172.00 ",F,24-02-44934,Married
45,"Kuzante, Marandinho"," $152,502.00 ",M,24-02-45934,Divorced
46,"Maruanto, Mazindara"," $133,837.00 ",M,24-02-46934,Single
47,"Kuzante, Marandinho"," $105,271.00 ",M,24-02-47934,Married
48,"Maruanto, Mazindara"," $119,076.00 ",N,24-02-48934,Divorced
49,"Kuzante, Marandinho"," $170,086.00 ",M,24-02-49934,Single
50,"Maruanto, Mazindara"," $38,549.00 ",F,24-02-50934,Married
51,"Kuzante, Marandinho"," $115,113.00 ",F,24-02-51934,Divorced
